b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.2470094, -0.2033761, 0.1843024, 0.1496634, 0.01978505, -0.7832541, -0.2470094, -0.2033761, 0.1843024, 0.1496634, 0.01978505, -0.7832541, -0.2286711, -0.1848765, 0.181096, 0.08413672, -0.526729, -0.7602409, -0.2104358, -0.1681381, 0.1743562, 0.192986, -0.7447141, -0.6201014, -0.1809607, -0.1520929, 0.1747045, 0.3155355, -0.6471691, -0.6824887, -0.1541276, -0.1318578, 0.1840498, 0.4548108, -0.5963447, -0.6534944, -0.2121415, -0.1072567, 0.1878264, 0.1071056, -0.03191813, -0.9649786, -0.1782999, -0.08905669, 0.195326, 0.09700724, 0.04703235, -0.9594381, -0.1570894, -0.1018255, 0.1993811, 0.1054648, 0.08205061, -0.8532271, -0.221652, -0.1110215, 0.208498, 0.1309601, 0.01772342, -0.7866087, -0.2111, -0.0691815, 0.2185747, 0.1276576, 0.02893636, -0.7845844, -0.2044791, -0.04234743, 0.2252687, 0.1079495, 0.05389255, -0.7490996, -0.2235466, -0.1230679, 0.2261663, 0.149319, 0.06615384, -0.7122951, -0.2226014, -0.08471879, 0.2383645, 0.1259676, 0.09533457, -0.7249621, -0.2207, -0.05871356, 0.2468808, 0.1023915, 0.07799829, -0.7235457, -0.2347541, -0.1780194, 0.2174998, 0.1295802, 0.2686951, -0.7441659, -0.2228804, -0.1393816, 0.241721, 0.2044396, 0.1412138, -0.6399737, -0.2273512, -0.1117002, 0.2565309, 0.1963636, 0.2032209, -0.6451923, -0.2291303, -0.09416914, 0.2678924, 0.1602632, 0.1720437, -0.6704038, -0.1393867, -0.1205948, 0.2014217, 0.4548108, -0.5963447, -0.6534944, -0.1454404, -0.1215883, 0.2021808, 0.1054648, 0.08205061, -0.8532271, -0.2023662, -0.01739825, 0.2314848, 0.1079495, 0.05389255, -0.7490996, -0.2208802, -0.034426, 0.2534722, 0.1023915, 0.07799829, -0.7235457, -0.2313395, -0.07401036, 0.2780149, 0.1602632, 0.1720437, -0.6704038
-0.2511051, -0.2107117, 0.1892516, 0.214349, 0.06798303, -0.782822, -0.2511051, -0.2107117, 0.1892516, 0.214349, 0.06798303, -0.782822, -0.2322767, -0.1924358, 0.189796, 0.1233597, -0.4728058, -0.8022833, -0.2134363, -0.1753285, 0.1865557, 0.2082025, -0.6980779, -0.6755069, -0.1836593, -0.1603972, 0.1906473, 0.3304509, -0.5969323, -0.7269091, -0.1568188, -0.1426819, 0.2041589, 0.4500825, -0.546502, -0.6883475, -0.214511, -0.1173514, 0.2095462, 0.1544385, 0.05141298, -0.9621706, -0.1809659, -0.1015133, 0.2220609, 0.09764022, 0.1432661, -0.9449075, -0.160225, -0.1153788, 0.2246942, 0.07945684, 0.1747768, -0.8297678, -0.2249984, -0.1241056, 0.2289456, 0.207445, 0.08123772, -0.7986394, -0.2121992, -0.08603077, 0.2476529, 0.2047895, 0.09228244, -0.7957782, -0.2041354, -0.0616516, 0.2598735, 0.1915573, 0.1108935, -0.754472, -0.2279118, -0.1387581, 0.2443628, 0.23067, 0.1131054, -0.7068105, -0.2269156, -0.1033534, 0.2634903, 0.2095996, 0.1401017, -0.7061071, -0.2259163, -0.0793318, 0.2766955, 0.1895513, 0.1186025, -0.6966003, -0.2398227, -0.1913062, 0.2265525, 0.1959968, 0.3132337, -0.7242714, -0.2282595, -0.1573537, 0.2571147, 0.2809749, 0.1884501, -0.6491159, -0.2309952, -0.1326634, 0.2768249, 0.2755847, 0.2489406, -0.6433628, -0.2320063, -0.1174798, 0.2912478, 0.2457367, 0.2134312, -0.6518472, -0.1425428, -0.1347204, 0.2236201, 0.4500825, -0.546502, -0.6883475, -0.1493165, -0.1357466, 0.2241871, 0.07945685, 0.1747768, -0.8297678, -0.2011265, -0.03859988, 0.2710597, 0.1915573, 0.1108935, -0.754472, -0.227629, -0.05665378, 0.2874722, 0.1895513, 0.1186025, -0.6966003, -0.2345888, -0.09952693, 0.3048399, 0.2457367, 0.2134312, -0.6518472
-0.226979, -0.2156973, 0.1888865, -0.003093839, 0.3585559, -0.6480822, -0.226979, -0.2156973, 0.1888865, -0.003093839, 0.3585559, -0.6480822, -0.2198703, -0.1907119, 0.1851435, -0.0007703304, -0.2322123, -0.7206841, -0.216109, -0.1665673, 0.1773324, 0.1636541, -0.478636, -0.707021, -0.2007399, -0.1378557, 0.1692212, 0.2549423, -0.3484789, -0.8219626, -0.1800154, -0.1103593, 0.1748112, 0.3451154, -0.3276861, -0.8758038, -0.2226027, -0.1167774, 0.2146322, -0.1343705, 0.2466803, -0.8710757, -0.197576, -0.08670267, 0.2132493, -0.2662405, 0.1474525, -0.9402021, -0.1772191, -0.0919483, 0.199558, -0.2767906, 0.07380667, -0.8534033, -0.2159729, -0.128257, 0.2335055, -0.01799158, 0.3637534, -0.6609389, -0.2098441, -0.08924441, 0.2536035, -0.02471355, 0.3738832, -0.6607466, -0.2055002, -0.06427673, 0.2665053, -0.02576538, 0.4014585, -0.6076362, -0.2034719, -0.1429892, 0.2428629, 0.02793942, 0.4216285, -0.5689956, -0.203349, -0.1116212, 0.2680894, -0.003773265, 0.4428385, -0.5691523, -0.2022496, -0.0898982, 0.2848022, -0.01756359, 0.4247053, -0.5580987, -0.2035824, -0.1943682, 0.2187678, -0.05770966, 0.5755097, -0.565874, -0.1893124, -0.1599005, 0.2475581, 0.07105448, 0.5133837, -0.5359705, -0.1860889, -0.1395607, 0.271672, 0.05071287, 0.5639899, -0.5299035, -0.1819425, -0.1267323, 0.287729, 0.01986465, 0.5323161, -0.5379987, -0.1613722, -0.09986022, 0.1885273, 0.3451154, -0.3276861, -0.8758038, -0.1654731, -0.10763, 0.1873016, -0.2767906, 0.07380667, -0.8534033, -0.2047015, -0.04274729, 0.2806972, -0.02576538, 0.4014585, -0.6076362, -0.2037883, -0.07029423, 0.3005082, -0.01756359, 0.4247053, -0.5580987, -0.179728, -0.111679, 0.3045282, 0.01986465, 0.5323161, -0.5379987
-0.2350868, -0.2185633, 0.190226, 0.2248822, -0.01452801, -0.7115519, -0.2350868, -0.2185633, 0.190226, 0.2248822, -0.01452801, -0.7115519, -0.219922, -0.1971451, 0.1905373, 0.1874542, -0.5468611, -0.7111599, -0.2042831, -0.1772877, 0.1861519, 0.2913253, -0.7359133, -0.5938932, -0.1778182, -0.1571409, 0.1906322, 0.4357017, -0.6125239, -0.6518246, -0.1568844, -0.1339511, 0.2061503, 0.5689811, -0.5193584, -0.6231277, -0.2184417, -0.1181517, 0.200598, 0.1993342, -0.03556833, -0.9256226, -0.1904069, -0.09442401, 0.2141546, 0.1757274, 0.09068729, -0.9624531, -0.168604, -0.1042036, 0.2217944, 0.1682026, 0.1469254, -0.8723801, -0.2307262, -0.1242129, 0.2191531, 0.210022, -0.01732644, -0.708762, -0.2304919, -0.08160309, 0.2313112, 0.2055225, -0.006600229, -0.7074181, -0.2304644, -0.05431819, 0.2393266, 0.181353, 0.00996514, -0.664924, -0.2336725, -0.1370452, 0.2361096, 0.2247577, 0.03049916, -0.6313646, -0.2417593, -0.09990348, 0.2493547, 0.199866, 0.05916931, -0.6476594, -0.2459855, -0.07451297, 0.258835, 0.1784052, 0.03826767, -0.6451535, -0.2335394, -0.1927433, 0.2252425, 0.180037, 0.2307715, -0.6724459, -0.2330259, -0.1535747, 0.2514357, 0.2898676, 0.1129511, -0.5358689, -0.2457158, -0.1289758, 0.2669097, 0.2781926, 0.1720145, -0.5315462, -0.2535937, -0.1135672, 0.2787461, 0.2503724, 0.1361126, -0.5534719, -0.1484508, -0.1222177, 0.227058, 0.5689811, -0.5193584, -0.6231277, -0.1549332, -0.1222792, 0.2263202, 0.1682026, 0.1469254, -0.8723801, -0.2346497, -0.02972963, 0.2459183, 0.181353, 0.00996514, -0.664924, -0.2517774, -0.0510727, 0.2659323, 0.1784052, 0.03826767, -0.6451535, -0.262677, -0.09569693, 0.2893229, 0.2503724, 0.1361126, -0.5534719
-0.232025, -0.2154719, 0.1917689, 0.1031306, 0.02123776, -0.6638597, -0.232025, -0.2154719, 0.1917689, 0.1031306, 0.02123776, -0.6638597, -0.2215432, -0.1920766, 0.1861474, 0.1255355, -0.5373634, -0.6371047, -0.2115556, -0.171025, 0.1754144, 0.2816658, -0.7265263, -0.5430464, -0.1898925, -0.1458827, 0.1704209, 0.4204807, -0.5924927, -0.6361502, -0.172051, -0.1169747, 0.1783462, 0.5943975, -0.4655574, -0.6554638, -0.2336643, -0.1133608, 0.1856231, 0.09415501, -0.02709008, -0.8963979, -0.2098404, -0.08281966, 0.1913147, 0.07585425, 0.04710665, -0.9881902, -0.1858198, -0.08917327, 0.1947814, 0.07997631, 0.08217531, -0.9025316, -0.2408634, -0.1182692, 0.2069777, 0.09795102, 0.02967306, -0.6696418, -0.2453565, -0.07487267, 0.214725, 0.09250138, 0.04060639, -0.6704252, -0.2481367, -0.04705746, 0.2199499, 0.06904524, 0.06263096, -0.6233633, -0.2380454, -0.1284767, 0.2256523, 0.1057979, 0.0829429, -0.5804256, -0.2506227, -0.09165383, 0.235959, 0.0778556, 0.1067554, -0.5945237, -0.2580368, -0.06624065, 0.2431435, 0.05828501, 0.08512816, -0.5875251, -0.2290667, -0.1843986, 0.2221156, 0.03932277, 0.2638012, -0.6373315, -0.2313489, -0.1419504, 0.2424495, 0.1468001, 0.1724094, -0.5134608, -0.244454, -0.1166019, 0.2562804, 0.1290641, 0.23135, -0.5214641, -0.2517734, -0.100118, 0.2669712, 0.1028071, 0.1913977, -0.5310813, -0.1645363, -0.1024801, 0.1978235, 0.5943975, -0.4655574, -0.6554638, -0.1702711, -0.1061182, 0.1970635, 0.07997631, 0.08217531, -0.9025316, -0.2548198, -0.02264705, 0.2249531, 0.06904524, 0.06263096, -0.6233633, -0.2670117, -0.04336245, 0.2485659, 0.05828501, 0.08512816, -0.5875251, -0.261173, -0.08174942, 0.2763501, 0.1028071, 0.1913977, -0.5310813
-0.2304566, -0.2136982, 0.1918061, 0.1321855, 0.007628918, -0.4414896, -0.2304566, -0.2136982, 0.1918061, 0.1321855, 0.007628918, -0.4414896, -0.2326072, -0.1880312, 0.1867673, 0.3209968, -0.498013, -0.4955831, -0.2329345, -0.1636804, 0.1787016, 0.5341136, -0.6117191, -0.4235706, -0.229336, -0.1303379, 0.1774061, 0.6172553, -0.4527914, -0.5040153, -0.2321928, -0.09677658, 0.186477, 0.7116091, -0.3525078, -0.5707062, -0.2824667, -0.126039, 0.1829769, 0.1515553, -0.002039138, -0.7335532, -0.2794831, -0.08796161, 0.191576, 0.1112327, 0.0873138, -0.9661777, -0.2573499, -0.07799479, 0.1979131, 0.1045325, 0.1321835, -0.9855378, -0.2884417, -0.1345926, 0.2035456, 0.1250647, 0.02545292, -0.5118572, -0.3094766, -0.09633809, 0.2111351, 0.1166041, 0.03839133, -0.5358332, -0.3215007, -0.07113461, 0.2165127, 0.08798397, 0.05497463, -0.4879134, -0.2828747, -0.1426162, 0.2226638, 0.1042366, 0.0673466, -0.4339576, -0.3076021, -0.1120059, 0.2311436, 0.07210978, 0.08725756, -0.4602961, -0.3229912, -0.0901162, 0.2371796, 0.05531779, 0.0629895, -0.4562463, -0.2467241, -0.1863448, 0.2215111, 0.006048497, 0.2257563, -0.4235003, -0.2721404, -0.1514572, 0.2404159, 0.09327604, 0.1546583, -0.3666227, -0.2938097, -0.1311508, 0.2515369, 0.06627064, 0.2097701, -0.3811777, -0.3068381, -0.1173812, 0.2604946, 0.04656234, 0.1655739, -0.390817, -0.2351177, -0.07721204, 0.2024334, 0.7116091, -0.3525078, -0.5707062, -0.234841, -0.07849929, 0.2031284, 0.1045325, 0.1321835, -0.9855378, -0.3358465, -0.05025148, 0.2213766, 0.08798397, 0.05497463, -0.4879134, -0.3387856, -0.07099272, 0.2414447, 0.05531779, 0.0629895, -0.4562463, -0.3222874, -0.1025478, 0.2679118, 0.04656234, 0.1655739, -0.390817
-0.2469726, -0.2027306, 0.1785514, 0.3221599, -0.008671641, -0.7842648, -0.2469726, -0.2027306, 0.1785514, 0.3221599, -0.008671641, -0.7842648, -0.2267759, -0.1870545, 0.1844812, 0.191595, -0.5102991, -0.8049206, -0.2058268, -0.1723537, 0.1862542, 0.2366689, -0.7110953, -0.6617863, -0.1760501, -0.161912, 0.1976855, 0.3778099, -0.6108506, -0.6934404, -0.1513533, -0.1485742, 0.2183972, 0.4689371, -0.560349, -0.6307377, -0.2054067, -0.1151081, 0.2111352, 0.2825265, 0.02857879, -0.9443667, -0.1746624, -0.1034705, 0.2323977, 0.2215885, 0.1864099, -0.9046013, -0.1569482, -0.1197406, 0.2395295, 0.1905877, 0.2459104, -0.7859226, -0.2211507, -0.1206426, 0.2270548, 0.3058383, 0.001115441, -0.8061614, -0.2078665, -0.08448491, 0.2489551, 0.3036363, 0.01234329, -0.8046895, -0.1994672, -0.0613555, 0.2632098, 0.2860795, 0.02983805, -0.7765591, -0.2295973, -0.1349494, 0.2406505, 0.3245493, 0.02241452, -0.7191797, -0.2281706, -0.09998742, 0.2605495, 0.3041142, 0.05718049, -0.7339807, -0.2258666, -0.07659711, 0.2746916, 0.2800063, 0.0415315, -0.7399238, -0.2430558, -0.1853287, 0.2182636, 0.3123273, 0.2342796, -0.7254917, -0.2353994, -0.1534713, 0.2521311, 0.3859803, 0.08843163, -0.6384748, -0.2407604, -0.128912, 0.2714621, 0.3833275, 0.1493164, -0.6307701, -0.244108, -0.1139096, 0.2857206, 0.3491708, 0.1243224, -0.6626531, -0.1398999, -0.1426928, 0.2403097, 0.4689371, -0.560349, -0.6307377, -0.1481054, -0.1410233, 0.2412489, 0.1905877, 0.2459104, -0.7859226, -0.1952835, -0.03904277, 0.2754655, 0.2860795, 0.02983805, -0.7765591, -0.2250297, -0.05419444, 0.2861277, 0.2800063, 0.0415315, -0.7399238, -0.2472794, -0.09604614, 0.299306, 0.3491708, 0.1243224, -0.6626531
-0.2276429, -0.2151826, 0.1865036, 0.1696341, 0.06935039, -0.6142299, -0.2276429, -0.2151826, 0.1865036, 0.1696341, 0.06935039, -0.6142299, -0.2198976, -0.1901509, 0.1850087, 0.227333, -0.4748792, -0.6628432, -0.2114384, -0.1665055, 0.1797682, 0.3818744, -0.6580296, -0.5809146, -0.1932841, -0.1383573, 0.1818794, 0.4958843, -0.5152381, -0.6525277, -0.1799406, -0.1091208, 0.1954434, 0.5872476, -0.4512467, -0.6706291, -0.2412343, -0.1142594, 0.1963486, 0.1457056, 0.05186695, -0.8650267, -0.2215839, -0.08252318, 0.2081559, 0.0815368, 0.1367166, -0.9869969, -0.1968552, -0.084187, 0.2120408, 0.0642758, 0.1695961, -0.9430699, -0.2482073, -0.1233028, 0.2163869, 0.1480621, 0.08255351, -0.694083, -0.2492206, -0.08134973, 0.2306131, 0.1408244, 0.09694128, -0.7095515, -0.2484891, -0.05453871, 0.2400653, 0.1196052, 0.1202765, -0.6746337, -0.2445574, -0.1359744, 0.2333275, 0.152731, 0.1288769, -0.5988623, -0.254601, -0.1001694, 0.2487374, 0.1229428, 0.1556712, -0.6185368, -0.2597129, -0.07541978, 0.2594024, 0.1004917, 0.1367584, -0.6239785, -0.2289599, -0.1892236, 0.2214267, 0.09023479, 0.3051286, -0.5704904, -0.2366349, -0.1511076, 0.2480499, 0.1872186, 0.2174744, -0.4988018, -0.2495667, -0.1278177, 0.2652526, 0.1687471, 0.2759324, -0.501127, -0.2568098, -0.1129036, 0.2780857, 0.1397855, 0.2386109, -0.5227321, -0.172224, -0.09322493, 0.213711, 0.5872476, -0.4512467, -0.6706291, -0.1770825, -0.09608291, 0.2133179, 0.0642758, 0.1695961, -0.9430699, -0.2512242, -0.0304793, 0.2489665, 0.1196052, 0.1202765, -0.6746337, -0.2659343, -0.05262665, 0.2680701, 0.1004917, 0.1367584, -0.6239785, -0.2656982, -0.09573475, 0.2899158, 0.1397855, 0.2386109, -0.5227321
-0.2336716, -0.2126396, 0.1952539, 0.1630432, -0.01199666, -0.7274889, -0.2336716, -0.2126396, 0.1952539, 0.1630432, -0.01199666, -0.7274889, -0.2181939, -0.1916396, 0.1923811, 0.1419822, -0.5527098, -0.7092539, -0.202364, -0.1725514, 0.1858104, 0.2814429, -0.74266, -0.5734507, -0.1768313, -0.150785, 0.1866239, 0.4125282, -0.6247348, -0.6411849, -0.1558032, -0.1252653, 0.1977311, 0.5631795, -0.5302626, -0.629421, -0.2143998, -0.1121644, 0.1959388, 0.1613825, -0.02154177, -0.9263943, -0.1863158, -0.08726323, 0.2070723, 0.1340162, 0.08570078, -0.9696131, -0.163863, -0.09688181, 0.212793, 0.1289968, 0.1315095, -0.8787007, -0.2248834, -0.1164676, 0.2160266, 0.1570536, 0.004829203, -0.771996, -0.2163755, -0.07439743, 0.2270352, 0.1532697, 0.01798217, -0.7782903, -0.2103434, -0.04761198, 0.2344423, 0.1335343, 0.03993103, -0.7384726, -0.226348, -0.1278722, 0.2341557, 0.1580317, 0.04311141, -0.6825535, -0.2289454, -0.0892828, 0.2453116, 0.1330157, 0.07346012, -0.7055228, -0.2287721, -0.06302686, 0.2532496, 0.1099094, 0.05515407, -0.7033742, -0.2282266, -0.184231, 0.227789, 0.12219, 0.2355073, -0.6960435, -0.2244617, -0.1431759, 0.2506106, 0.1878974, 0.1126723, -0.5959805, -0.2328405, -0.1153182, 0.2632333, 0.1771578, 0.1741532, -0.6038275, -0.2372461, -0.09743418, 0.2732501, 0.1458273, 0.1382753, -0.6206161, -0.146504, -0.1114981, 0.2169644, 0.5631795, -0.5302626, -0.629421, -0.1498228, -0.1149562, 0.2160015, 0.1289968, 0.1315095, -0.8787007, -0.2091267, -0.02270396, 0.241051, 0.1335343, 0.03993103, -0.7384726, -0.2305593, -0.0386398, 0.2592028, 0.1099094, 0.05515407, -0.7033742, -0.2428169, -0.07719313, 0.2817934, 0.1458273, 0.1382753, -0.6206161
-0.2450621, -0.217577, 0.1988018, 0.20541, 0.08186081, -0.8846831, -0.2450621, -0.217577, 0.1988018, 0.20541, 0.08186081, -0.8846831, -0.2208011, -0.2075827, 0.1982311, -0.005362898, -0.4423473, -0.8693107, -0.1976422, -0.1978717, 0.1929886, 0.03087759, -0.6923198, -0.720471, -0.1641893, -0.195193, 0.1932866, 0.1795496, -0.6140522, -0.7670054, -0.1317235, -0.190125, 0.204995, 0.3195198, -0.5873691, -0.6792233, -0.1747746, -0.1462385, 0.2197212, 0.1194878, 0.07016187, -0.9901513, -0.1367737, -0.1484465, 0.2288751, 0.06523503, 0.1440526, -0.8564608, -0.1240155, -0.1700345, 0.2281267, 0.05473486, 0.1598083, -0.7066273, -0.1854013, -0.1503487, 0.2397741, 0.1825862, 0.1024144, -0.9209167, -0.1536235, -0.1251742, 0.2576596, 0.182771, 0.1143814, -0.9192421, -0.1332569, -0.1091413, 0.2693583, 0.1794577, 0.1391344, -0.8927533, -0.1922972, -0.1642019, 0.254654, 0.222905, 0.1285332, -0.8426394, -0.1740574, -0.1344193, 0.2746702, 0.2039135, 0.1653425, -0.8520762, -0.1601574, -0.1151017, 0.2883096, 0.1781494, 0.1541752, -0.8535926, -0.2243519, -0.2069775, 0.235598, 0.2365344, 0.3237663, -0.8181496, -0.1985095, -0.1824153, 0.2664102, 0.2972354, 0.182993, -0.7693906, -0.1905533, -0.1597599, 0.287123, 0.2961642, 0.2509793, -0.7722434, -0.1838713, -0.1465909, 0.3020064, 0.2549241, 0.2292151, -0.792581, -0.1153918, -0.1902108, 0.2244681, 0.3195198, -0.5873691, -0.6792233, -0.1219494, -0.1928963, 0.2254489, 0.05473486, 0.1598083, -0.7066273, -0.1178934, -0.09187371, 0.2808194, 0.1794577, 0.1391344, -0.8927533, -0.1489328, -0.09581337, 0.2999429, 0.1781494, 0.1541752, -0.8535926, -0.1767982, -0.130504, 0.3163207, 0.2549241, 0.2292151, -0.792581
