b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.1781897, -0.1964431, 0.1220395, -0.1975344, 0.5813481, -0.5911291, -0.1781897, -0.1964431, 0.1220395, -0.1975344, 0.5813481, -0.5911291, -0.174922, -0.1711071, 0.1164948, -0.2003877, 0.07294534, -0.5032374, -0.1872599, -0.148824, 0.1144631, -0.006045893, -0.02083671, -0.6031857, -0.1963344, -0.1166803, 0.1131087, -0.03168121, 0.08135498, -0.6453226, -0.2016807, -0.08247047, 0.1159782, -0.001828298, -0.0239224, -0.5397729, -0.1586542, -0.09942655, 0.1463308, -0.4599101, 0.3598796, -0.8085355, -0.1365646, -0.08195405, 0.1193621, -0.5857102, -0.1005714, -0.5653381, -0.1450742, -0.1010593, 0.1056893, -0.492563, -0.3008039, -0.3408257, -0.1418103, -0.1116117, 0.1561038, -0.5166454, 0.3686605, -0.7727526, -0.1212385, -0.09510677, 0.1207166, -0.6281272, -0.1044582, -0.5276071, -0.1331756, -0.1156299, 0.1052702, -0.5071959, -0.2807951, -0.2770533, -0.1262891, -0.1262436, 0.1546167, -0.5254973, 0.4249415, -0.737031, -0.1083443, -0.10787, 0.1238295, -0.6891011, -0.01316177, -0.5181152, -0.1209875, -0.1227045, 0.1046848, -0.6270124, -0.2650726, -0.2481769, -0.1413931, -0.175939, 0.1323228, -0.2271965, 0.7549432, -0.4891781, -0.1123671, -0.1427078, 0.1483246, -0.2561331, 0.7151991, -0.6139383, -0.0878303, -0.1228214, 0.1480773, -0.3162793, 0.7204748, -0.6074958, -0.07161962, -0.1105443, 0.1433257, -0.3287982, 0.7210459, -0.5889713, -0.2131876, -0.05992657, 0.1155749, -0.001828328, -0.02392241, -0.5397729, -0.1581055, -0.1199613, 0.1073496, -0.492563, -0.3008039, -0.3408257, -0.1504658, -0.1344243, 0.1081151, -0.5071959, -0.2807951, -0.2770533, -0.139207, -0.1399179, 0.1044122, -0.6270124, -0.2650726, -0.2481769, -0.05488172, -0.09557489, 0.1410026, -0.3287982, 0.7210459, -0.5889713
-0.1471364, -0.1197943, 0.1295933, -0.1393107, 0.4773688, -0.6921615, -0.1471364, -0.1197943, 0.1295933, -0.1393107, 0.4773688, -0.6921615, -0.1390441, -0.09651387, 0.1208831, -0.2137888, -0.05868132, -0.6010698, -0.1459569, -0.07356969, 0.1120136, -0.005280241, -0.1770971, -0.6616563, -0.1480193, -0.04140367, 0.1031538, -0.0144614, -0.07246836, -0.7022564, -0.1481293, -0.006923646, 0.0988825, -0.01844883, -0.1803344, -0.5555537, -0.1185976, -0.02270359, 0.141545, -0.3481226, 0.3042496, -0.8863102, -0.08910908, -0.01261818, 0.1181086, -0.4690321, -0.06644354, -0.5593685, -0.09823907, -0.03319068, 0.1072558, -0.3820274, -0.2504865, -0.2501327, -0.1061138, -0.0345844, 0.1567342, -0.3930946, 0.3414811, -0.8525398, -0.07579921, -0.02613743, 0.12579, -0.5205801, -0.05527517, -0.5274096, -0.08819313, -0.04776035, 0.1123319, -0.4009621, -0.2162777, -0.1859473, -0.09299108, -0.05086242, 0.1612096, -0.3951168, 0.4105406, -0.8214216, -0.065465, -0.03947657, 0.1343743, -0.5847593, 0.05995589, -0.5523102, -0.07592121, -0.05540024, 0.1147901, -0.5522951, -0.1724001, -0.2182945, -0.1105414, -0.1019176, 0.1444724, -0.1547588, 0.6762762, -0.6003387, -0.08071517, -0.06967054, 0.161007, -0.148413, 0.6512513, -0.7114871, -0.05353078, -0.05375608, 0.1633152, -0.1842427, 0.6766308, -0.7017716, -0.03472325, -0.04487193, 0.1614608, -0.2055036, 0.6725694, -0.6897895, -0.1573077, 0.01545928, 0.09142864, -0.01844883, -0.1803344, -0.5555537, -0.1150328, -0.04818483, 0.1120522, -0.3820274, -0.2504865, -0.2501327, -0.1093416, -0.06143045, 0.1174451, -0.4009621, -0.2162777, -0.1859473, -0.09667313, -0.06944156, 0.1140645, -0.5522951, -0.1724001, -0.2182945, -0.01550433, -0.03302856, 0.1615335, -0.2055036, 0.6725694, -0.6897895
-0.147946, -0.09016181, 0.1658078, -0.1246414, 0.5129908, -0.6918772, -0.147946, -0.09016181, 0.1658078, -0.1246414, 0.5129908, -0.6918772, -0.1387028, -0.06698699, 0.1580088, -0.2052217, -0.005095035, -0.5914387, -0.1463772, -0.0434719, 0.151603, 0.003499702, -0.09016876, -0.6677044, -0.1494552, -0.01046505, 0.1473048, -0.009823352, 0.01555726, -0.6994784, -0.150184, 0.02426981, 0.1475996, 0.002084255, -0.09560074, -0.5541405, -0.112453, 0.004030444, 0.1816816, -0.3667009, 0.3351085, -0.8670204, -0.08406342, 0.01098774, 0.1558711, -0.5052142, -0.03971628, -0.5249025, -0.09520277, -0.007953815, 0.1439757, -0.438262, -0.2165086, -0.2646312, -0.1001346, -0.009490214, 0.1955798, -0.4163697, 0.3604161, -0.8287674, -0.07217485, -0.003515862, 0.161958, -0.5513599, -0.03892739, -0.4968413, -0.08642969, -0.02356275, 0.147915, -0.4537555, -0.1893294, -0.21078, -0.0879489, -0.02681268, 0.198521, -0.4294181, 0.4081241, -0.8018022, -0.0631351, -0.01780082, 0.1683462, -0.6047786, 0.04591994, -0.5118571, -0.07602478, -0.03329924, 0.1499047, -0.5721987, -0.1722866, -0.2046691, -0.1096107, -0.07557464, 0.1798711, -0.1349285, 0.7066842, -0.5900705, -0.07698426, -0.04633036, 0.1966985, -0.1651038, 0.6660401, -0.7004774, -0.04955124, -0.03070589, 0.1976442, -0.1743339, 0.6946934, -0.6856171, -0.03064525, -0.02192096, 0.1964283, -0.1910161, 0.690998, -0.6733396, -0.1605551, 0.04711337, 0.1442218, 0.002084255, -0.09560074, -0.5541404, -0.1123758, -0.02312114, 0.1461888, -0.438262, -0.2165086, -0.2646312, -0.1075983, -0.03791663, 0.1503909, -0.4537555, -0.1893294, -0.21078, -0.09712349, -0.04681598, 0.14922, -0.5721987, -0.1722866, -0.2046691, -0.01132531, -0.01029355, 0.1975155, -0.1910161, 0.690998, -0.6733396
-0.1454525, -0.1104791, 0.151758, -0.2600178, 0.6220437, -0.6237588, -0.1454525, -0.1104791, 0.151758, -0.2600178, 0.6220437, -0.6237588, -0.1408544, -0.08644078, 0.1425738, -0.3077491, 0.1521588, -0.5527558, -0.1496088, -0.06259812, 0.1397851, -0.1355755, 0.007924482, -0.6614956, -0.153778, -0.02990862, 0.1341801, -0.1549284, 0.09678038, -0.7289232, -0.1509501, 0.004551522, 0.1307698, -0.1316348, 0.01176801, -0.5878054, -0.109458, -0.01540057, 0.1587134, -0.5224419, 0.3742023, -0.765915, -0.09178168, -0.001350537, 0.126922, -0.631282, -0.1529985, -0.4521372, -0.105383, -0.01998918, 0.1173317, -0.4963929, -0.3989102, -0.1781686, -0.09217219, -0.02891759, 0.1655105, -0.5695457, 0.3802997, -0.7208078, -0.07767912, -0.01659967, 0.1256849, -0.6669217, -0.1565629, -0.3975925, -0.09566004, -0.03626357, 0.1160776, -0.485819, -0.3880415, -0.08920538, -0.07931491, -0.04565533, 0.162083, -0.5702963, 0.4385723, -0.6850034, -0.0663588, -0.03190706, 0.1267194, -0.7252023, -0.03054088, -0.3973427, -0.08500186, -0.04530804, 0.1119112, -0.6355317, -0.3190553, -0.09141332, -0.105166, -0.09451212, 0.1502714, -0.2574302, 0.7820414, -0.5187719, -0.06943026, -0.06439967, 0.1546381, -0.2939931, 0.7204719, -0.6276789, -0.04333753, -0.05012628, 0.1440066, -0.2884046, 0.7375871, -0.60945, -0.02598545, -0.04218009, 0.1355299, -0.300304, 0.7448077, -0.595715, -0.1596225, 0.02819802, 0.1282339, -0.1316348, 0.01176803, -0.5878053, -0.1194982, -0.03589173, 0.126148, -0.4963929, -0.3989102, -0.1781686, -0.1132484, -0.05032089, 0.1284596, -0.485819, -0.3880415, -0.08920538, -0.1048134, -0.05914794, 0.118566, -0.6355317, -0.3190553, -0.09141332, -0.007078737, -0.0316299, 0.1291373, -0.300304, 0.7448077, -0.595715
-0.1344582, -0.1073768, 0.1577296, -0.05677184, 0.6132819, -0.7053704, -0.1344582, -0.1073768, 0.1577296, -0.05677184, 0.6132819, -0.7053704, -0.1194939, -0.08683763, 0.1516021, -0.191041, 0.1220486, -0.7045873, -0.1189145, -0.06143397, 0.1489174, 0.017579, 0.01322691, -0.79063, -0.1105395, -0.02910598, 0.1503877, 0.0198468, 0.1209656, -0.8003942, -0.0997506, 0.0033639, 0.156424, 0.03214157, 0.00246878, -0.6838201, -0.06986004, -0.03167694, 0.1796504, -0.3784502, 0.4415523, -0.8003463, -0.04369313, -0.02774412, 0.1510081, -0.5905304, 0.009089183, -0.3836161, -0.06132201, -0.04108642, 0.1393646, -0.5289018, -0.2262777, -0.08888236, -0.06076201, -0.05039196, 0.189381, -0.427543, 0.4702286, -0.7391886, -0.03714871, -0.04719091, 0.1522322, -0.6364607, 0.02146324, -0.3364257, -0.05903552, -0.05963852, 0.1392589, -0.5328785, -0.2108893, 0.004152745, -0.05428895, -0.07071933, 0.1879295, -0.425357, 0.529808, -0.7002198, -0.03255814, -0.06495877, 0.1547325, -0.6779428, 0.1254646, -0.3259405, -0.05321395, -0.07183145, 0.1382237, -0.6560892, -0.1609924, 0.01638111, -0.09208813, -0.1071272, 0.1669421, -0.03983837, 0.7879231, -0.5702492, -0.05022239, -0.09192423, 0.1817408, -0.1007699, 0.7610446, -0.6401451, -0.01933423, -0.08827315, 0.1762472, -0.09496187, 0.7817336, -0.6106476, 0.0008801967, -0.08730415, 0.1710966, -0.1061253, 0.7865584, -0.6075743, -0.1024687, 0.02846385, 0.1582682, 0.03214157, 0.00246878, -0.6838201, -0.08155623, -0.05061007, 0.1448175, -0.5289018, -0.2262777, -0.08888236, -0.08258129, -0.0660156, 0.1473338, -0.5328785, -0.2108893, 0.004152745, -0.07724649, -0.07699789, 0.14313, -0.6560892, -0.1609924, 0.01638111, 0.02310437, -0.08442595, 0.1683691, -0.1061253, 0.7865584, -0.6075743
-0.1249118, -0.1002399, 0.1500545, 0.0130665, 0.516769, -0.7547052, -0.1249118, -0.1002399, 0.1500545, 0.0130665, 0.516769, -0.7547052, -0.1079089, -0.08106208, 0.1449119, -0.1468621, 0.005112097, -0.7095401, -0.1077314, -0.05603438, 0.1397668, 0.0432094, -0.1013072, -0.7721898, -0.1006086, -0.02343627, 0.1377591, 0.0464237, 0.007175319, -0.7962934, -0.09128793, 0.009910695, 0.1406286, 0.03863728, -0.1143447, -0.6695145, -0.06340687, -0.02329749, 0.176149, -0.2936476, 0.3790029, -0.8550065, -0.03418621, -0.02780179, 0.1507242, -0.4878576, 0.03886956, -0.3851265, -0.05168568, -0.04191279, 0.1398148, -0.4533253, -0.1289213, -0.1211514, -0.05778141, -0.04056668, 0.1902145, -0.3335664, 0.429756, -0.8024186, -0.02877916, -0.04528676, 0.1572835, -0.541762, 0.07022326, -0.3744726, -0.0488805, -0.05902524, 0.1428103, -0.4763081, -0.09380455, -0.05774093, -0.05219068, -0.06099957, 0.1931213, -0.3472151, 0.4826572, -0.7665962, -0.02648075, -0.06246905, 0.1623919, -0.5888889, 0.1500677, -0.3638844, -0.04533591, -0.07167558, 0.1448945, -0.5931339, -0.0711677, -0.02824688, -0.08588342, -0.09939608, 0.1689286, 0.02546521, 0.7134399, -0.6291601, -0.04788186, -0.08294277, 0.1910203, -0.05619656, 0.7138493, -0.6980267, -0.01649799, -0.08060645, 0.1883401, -0.06280196, 0.7388406, -0.667266, 0.004014261, -0.0806246, 0.184424, -0.078403, 0.7422253, -0.6652993, -0.09442167, 0.03490704, 0.1381466, 0.03863731, -0.1143448, -0.6695145, -0.07303718, -0.05028836, 0.1417697, -0.4533253, -0.1289213, -0.1211514, -0.07384217, -0.06479581, 0.1447826, -0.4763081, -0.09380455, -0.05774093, -0.07007872, -0.0756579, 0.1454069, -0.5931339, -0.0711677, -0.02824688, 0.02641755, -0.07842486, 0.1827232, -0.07840298, 0.7422253, -0.6652993
-0.1448745, -0.1075192, 0.1537557, -0.1084511, 0.5538718, -0.7070837, -0.1448745, -0.1075192, 0.1537557, -0.1084511, 0.5538718, -0.7070837, -0.1332343, -0.08543201, 0.1460099, -0.2143793, 0.05077757, -0.6379119, -0.1378586, -0.06081978, 0.1409361, -0.00390707, -0.03899956, -0.7205424, -0.1364746, -0.02748042, 0.1389428, -0.01247753, 0.06530279, -0.7676998, -0.1299686, 0.006576054, 0.1411693, -0.003185719, -0.04635888, -0.6426, -0.09583785, -0.01964875, 0.1698216, -0.39325, 0.3551078, -0.8395958, -0.07002191, -0.01659685, 0.1407566, -0.5355982, -0.046168, -0.4448973, -0.08501107, -0.03375828, 0.130501, -0.4625428, -0.2412381, -0.1679943, -0.08439466, -0.03529543, 0.1821482, -0.4366117, 0.3875551, -0.7925969, -0.05981974, -0.03266973, 0.1455826, -0.5835905, -0.03810605, -0.4121496, -0.07843924, -0.05024141, 0.1334651, -0.4683843, -0.2250374, -0.08762258, -0.07446565, -0.05418847, 0.1834432, -0.4420161, 0.4446792, -0.762329, -0.05210291, -0.04823407, 0.1507032, -0.6348629, 0.0595272, -0.4206597, -0.06956109, -0.06100239, 0.1340114, -0.5945185, -0.1906747, -0.08246545, -0.1039261, -0.09876774, 0.1650164, -0.1040959, 0.7403663, -0.5928367, -0.06641716, -0.07487664, 0.1800219, -0.1601424, 0.7024391, -0.6901353, -0.03674609, -0.06479883, 0.1760653, -0.1809177, 0.7226139, -0.6670454, -0.01723658, -0.05967849, 0.1706569, -0.1960973, 0.7260461, -0.6579087, -0.1353466, 0.03127965, 0.1399015, -0.003185719, -0.04635888, -0.6426, -0.1037988, -0.04610512, 0.1354443, -0.4625428, -0.2412381, -0.1679943, -0.1010376, -0.06035349, 0.1403452, -0.4683843, -0.2250374, -0.08762258, -0.09247126, -0.07057566, 0.137447, -0.5945185, -0.1906747, -0.08246545, 0.003709912, -0.05192289, 0.1673807, -0.1960973, 0.7260461, -0.6579087
-0.1457832, -0.1089982, 0.1803859, 0.1545484, 0.556625, -0.802402, -0.1457832, -0.1089982, 0.1803859, 0.1545484, 0.556625, -0.802402, -0.1212845, -0.1014339, 0.1752938, -0.1283202, 0.1177028, -0.8775336, -0.1067753, -0.08062615, 0.1722267, 0.06270976, -0.02622901, -0.9289438, -0.08246511, -0.0579146, 0.175483, 0.09161977, 0.07981379, -0.9540503, -0.05351786, -0.04026432, 0.1830761, 0.05644518, -0.04060367, -0.8944844, -0.05115937, -0.08202879, 0.2068981, -0.1642208, 0.5229725, -0.751928, -0.02472939, -0.0968082, 0.1823303, -0.4963282, 0.2589679, -0.2334019, -0.04364279, -0.0996585, 0.1662515, -0.5395975, 0.04070209, 0.08182234, -0.05533323, -0.1014898, 0.218368, -0.2017584, 0.5687706, -0.6828202, -0.02975783, -0.1161784, 0.185535, -0.5369159, 0.2819455, -0.2006019, -0.05129956, -0.1163463, 0.1671446, -0.5448582, 0.0524771, 0.1840489, -0.06173284, -0.1218917, 0.2184938, -0.1891912, 0.6204203, -0.6514477, -0.03693081, -0.1330388, 0.189031, -0.5540804, 0.3657794, -0.1861306, -0.05504791, -0.1293306, 0.16892, -0.645925, 0.1021888, 0.1847404, -0.111924, -0.1320705, 0.1945769, 0.2210177, 0.7288132, -0.6425701, -0.07023904, -0.1421112, 0.2136667, 0.09841251, 0.7340303, -0.6440803, -0.04158295, -0.1544661, 0.2087908, -0.006449178, 0.7664109, -0.5529965, -0.02516112, -0.1618065, 0.1981827, -0.07935172, 0.7792602, -0.5323533, -0.03918353, -0.01951614, 0.1852755, 0.05644518, -0.04060367, -0.8944844, -0.06639683, -0.09619799, 0.1658823, -0.5395975, 0.04070209, 0.08182234, -0.07546186, -0.1078372, 0.1691575, -0.5448582, 0.0524771, 0.1840489, -0.07816182, -0.1196518, 0.1695478, -0.645925, 0.1021888, 0.1847404, -0.006864145, -0.1670255, 0.1860328, -0.07935172, 0.7792602, -0.5323533
-0.1673397, -0.1449373, 0.1711924, -0.3637441, 0.660107, -0.4519725, -0.1673397, -0.1449373, 0.1711924, -0.3637441, 0.660107, -0.4519725, -0.1724889, -0.119553, 0.1676629, -0.273814, 0.2253874, -0.3378499, -0.1896115, -0.1013468, 0.1729772, -0.09822925, 0.1498534, -0.4804979, -0.2061024, -0.07278461, 0.1784225, -0.1511201, 0.2341159, -0.5425178, -0.2165856, -0.04045102, 0.1856178, -0.07785657, 0.1511415, -0.3943729, -0.1632827, -0.04647013, 0.197109, -0.650501, 0.3241868, -0.6779531, -0.1582355, -0.02420017, 0.1655, -0.6866524, -0.2574233, -0.5166953, -0.1665692, -0.04444411, 0.1534542, -0.5231473, -0.4949385, -0.3300951, -0.1416304, -0.05400197, 0.1985786, -0.6944329, 0.3260821, -0.6397049, -0.1402577, -0.03135889, 0.1607201, -0.722218, -0.2611721, -0.4730511, -0.1520414, -0.05361443, 0.147754, -0.5213122, -0.4893021, -0.2594836, -0.1249157, -0.06410307, 0.1898725, -0.6928043, 0.4011377, -0.5976316, -0.1234664, -0.03970376, 0.1580916, -0.796874, -0.1383314, -0.443807, -0.1389792, -0.05508448, 0.1416836, -0.670433, -0.4350555, -0.2236962, -0.1353329, -0.1157406, 0.1693827, -0.3995628, 0.7928891, -0.3606486, -0.1110472, -0.0763295, 0.1771186, -0.4159743, 0.7450047, -0.5002509, -0.09176272, -0.05209999, 0.1709034, -0.4304381, 0.7536801, -0.4903683, -0.07887828, -0.03693441, 0.164572, -0.4362078, 0.758445, -0.4671144, -0.2333454, -0.02254698, 0.1918907, -0.07785657, 0.1511415, -0.3943729, -0.173119, -0.06595597, 0.1583734, -0.5231473, -0.4949385, -0.3300951, -0.1618769, -0.07586717, 0.1560216, -0.5213122, -0.4893021, -0.2594836, -0.1523626, -0.07606484, 0.1446897, -0.670433, -0.4350555, -0.2236962, -0.06512489, -0.01941091, 0.1609101, -0.4362078, 0.758445, -0.4671144
-0.1438352, -0.1079968, 0.1831014, 0.1413652, 0.4462084, -0.8471494, -0.1438352, -0.1079968, 0.1831014, 0.1413652, 0.4462084, -0.8471494, -0.1199131, -0.09852747, 0.1784755, -0.1462193, -0.03862766, -0.875952, -0.1061774, -0.07831061, 0.1710258, 0.07745533, -0.1831649, -0.8941059, -0.08391631, -0.05337538, 0.1707419, 0.1128938, -0.07657176, -0.9224828, -0.05912054, -0.02962564, 0.176057, 0.05798346, -0.2011304, -0.8353699, -0.05704942, -0.06194001, 0.2101368, -0.1093476, 0.4350235, -0.8288718, -0.02770437, -0.07984141, 0.1917259, -0.3989113, 0.2359385, -0.3033194, -0.04531199, -0.08775845, 0.1758621, -0.4370033, 0.06708618, 0.0120192, -0.06039757, -0.07827476, 0.225938, -0.1536469, 0.4833996, -0.7728563, -0.03118204, -0.09773269, 0.1991853, -0.4451892, 0.2523153, -0.2839692, -0.05133207, -0.1044135, 0.1804336, -0.4480049, 0.08501995, 0.09941217, -0.06439, -0.09868673, 0.2308999, -0.1716776, 0.5185607, -0.7540186, -0.03733122, -0.1136045, 0.2053511, -0.4788074, 0.3012703, -0.2778242, -0.05547505, -0.1175088, 0.1853014, -0.5507771, 0.08807901, 0.1140764, -0.1096427, -0.1216494, 0.2060064, 0.1954985, 0.6452235, -0.7124606, -0.06984957, -0.1204738, 0.2308659, 0.07259862, 0.6383435, -0.7637841, -0.03884304, -0.126407, 0.2318565, 0.02855643, 0.6761954, -0.7157821, -0.0192306, -0.1323568, 0.2278513, -0.02048025, 0.6837016, -0.7132311, -0.04815076, -0.006950319, 0.1735488, 0.05798346, -0.2011304, -0.8353699, -0.06809157, -0.08680343, 0.1726941, -0.4370033, 0.06708618, 0.0120192, -0.07631343, -0.09886774, 0.1780989, -0.4480049, 0.08501995, 0.09941217, -0.07966794, -0.1112331, 0.1833918, -0.5507771, 0.08807901, 0.1140764, 0.002586886, -0.1363759, 0.2236701, -0.02048025, 0.6837016, -0.7132311
